"","UP/DOWN","statistic","p.value","FDRp.value","path_name"
"P-hsa04810-26 80","DOWN",-2.76261590881741,0.00573637801998424,0.00734569635869654,"Regulation of actin cytoskeleton: PFN3 ACTB"
"P-hsa05133-96","DOWN",-2.75912606265915,0.00579799831061273,0.00741953944796008,"Pertussis: IL1B"
"P-hsa05160-22 23","DOWN",-2.7411399324589,0.00612514434904554,0.00783283626367378,"Hepatitis C: STAT1 IRF9"
"P-hsa05014-54","DOWN",-2.73550248866479,0.00623105218893548,0.00796284326051973,"Amyotrophic lateral sclerosis (ALS): PPP3CA"
"P-hsa05152-69","UP",2.73013349457517,0.00633344658451588,0.00808818638022586,"Tuberculosis: HLA-DMA"
"P-hsa04340-15","UP",2.72718054782587,0.00639040671242438,0.00815537618537968,"Hedgehog signaling pathway: HHIP"
"P-hsa04916-8","UP",2.72046930521384,0.00652157938606005,0.00831146938060371,"Melanogenesis: TYR*"
"P-hsa04916-6","UP",2.72046930521384,0.00652157938606005,0.00831146938060371,"Melanogenesis: DCT"
"P-hsa05221-29","UP",2.71885860698695,0.00655341900536569,0.00834637749766873,"Acute myeloid leukemia: RPS6KB1"
"P-hsa04210-3","UP",2.71644255964662,0.00660144059886891,0.00840183348946952,"Apoptosis: BCL2L1"
"P-hsa04152-94","UP",2.70463077264944,0.00684079805153774,0.00870056755571851,"AMPK signaling pathway: MLYCD"
"P-hsa04724-51","DOWN",-2.70275162471807,0.00687958846519311,0.00874397558313162,"Glutamatergic synapse: ADRBK1"
"P-hsa04014-54","UP",2.69362433476571,0.00707082432086402,0.00898095221796946,"Ras signaling pathway: RHOA"
"P-hsa04910-42","UP",2.68986603890297,0.00715094615820678,0.00907043610060576,"Insulin signaling pathway: PCK1"
"P-hsa04919-89","DOWN",-2.68986603890297,0.00715094615820678,0.00907043610060576,"Thyroid hormone signaling pathway: CASP9"
"P-hsa04024-118","DOWN",-2.68583929333575,0.00723769451004069,0.00917426682488942,"cAMP signaling pathway: MYL9"
"P-hsa04310-13","DOWN",-2.68476549451782,0.00726098634422054,0.00919757621995796,"Wnt signaling pathway: NFATC1"
"P-hsa04210-75","DOWN",-2.6520146305711,0.0080044888447791,0.0101325378359012,"Apoptosis: BAK1*"
"P-hsa04520-10","UP",2.63966594416496,0.00830206538074499,0.0105021406974225,"Adherens junction: NLK"
"P-hsa05130-9","DOWN",-2.63214935243948,0.00848800834154726,0.010730123752522,"Pathogenic Escherichia coli infection: TLR4"
"P-hsa04933-24","UP",2.62919640569019,0.00856207036088426,0.0108164606040531,"AGE-RAGE signaling pathway in diabetic complications: THBD"
"P-hsa04550-66","UP",2.61818996780645,0.00884323577869472,0.0111641388430897,"Signaling pathways regulating pluripotency of stem cells: MYC"
"P-hsa04726-41","DOWN",-0.20321642629237,0.00933863417924962,0.0117421432441503,"Serotonergic synapse: HTR3C"
"P-hsa04742-57","DOWN",-0.20321642629237,0.00933863417924962,0.0117421432441503,"Taste transduction: HTR3C"
"P-hsa04976-41","DOWN",-0.20321642629237,0.00933863417924962,0.0117421432441503,"Bile secretion: CYP7A1"
"P-hsa04976-36","DOWN",-0.20321642629237,0.00933863417924962,0.0117421432441503,"Bile secretion: SLC10A1"
"P-hsa04976-37","UP",0.20321642629237,0.00933863417924962,0.0117421432441503,"Bile secretion: ABCB11"
"P-hsa04976-95 96","UP",0.20321642629237,0.00933863417924962,0.0117421432441503,"Bile secretion: SLC51A SLC51B"
"P-hsa05215-9","DOWN",-2.59913003878828,0.00934969134268698,0.0117481721090963,"Prostate cancer: CDKN1B"
"P-hsa04520-1 13","UP",2.58409685533732,0.00976723765087304,0.0122646170234524,"Adherens junction: SMAD4 SMAD2"
"P-hsa04917-40","DOWN",-2.57604336420288,0.00999768906030928,0.012545595101766,"Prolactin signaling pathway: TH"
"P-hsa05140-26","DOWN",-2.5757749144984,0.0100054559423402,0.0125469487619185,"Leishmaniasis: Nitric oxide"
"P-hsa04950-31","DOWN",-2.56637917484155,0.0102806115219827,0.0128833849133197,"Maturity onset diabetes of the young: NKX6-1*"
"P-hsa04010-120","UP",2.56557382572811,0.0103045159889856,0.0129047209581689,"MAPK signaling pathway: NFATC1"
"P-hsa04022-57","DOWN",-2.54758769552786,0.0108512322821719,0.0135803280596094,"cGMP-PKG signaling pathway: GMP"
"P-hsa04530-20 31","DOWN",-2.54087645291583,0.0110617440140043,0.0138345545135147,"Tight junction: ACTB MLLT4"
"P-hsa05164-41 42","UP",2.53819195587101,0.0111469594698807,0.0139318427484984,"Influenza A: STAT1 IRF9"
"P-hsa04152-82","UP",2.53201761266794,0.0113451714747861,0.0141701342787608,"AMPK signaling pathway: HMGCR"
"P-hsa04622-11","UP",2.5269170682828,0.0115112655005831,0.0143680200127039,"RIG-I-like receptor signaling pathway: IRF7"
