"","UP/DOWN","statistic","p.value","FDRp.value"
"P-hsa04933-58","DOWN",-7.70531186772773,1.30661402735083e-14,3.77108910047715e-14
"P-hsa04620-46","DOWN",-7.70262737068292,1.33436777740622e-14,3.84527488542866e-14
"P-hsa04931-124","DOWN",-7.69752682629777,1.38870721641856e-14,3.99572812576873e-14
"P-hsa04620-18","DOWN",-7.69242628191263,1.44522249888928e-14,4.15197152820259e-14
"P-hsa04024-109","UP",7.68920488545885,1.48207598277438e-14,4.25133722275954e-14
"P-hsa04024-110","UP",7.67792999787063,1.61849241996719e-14,4.63555996924955e-14
"P-hsa05200-66","UP",7.6712187552586,1.70548100493521e-14,4.87725970313789e-14
"P-hsa05034-84","UP",7.66558131146449,1.78209325370068e-14,5.08859504405247e-14
"P-hsa05166-60","DOWN",-7.66074921678383,1.85044819166075e-14,5.27574590813916e-14
"P-hsa05031-97","UP",7.65752782033005,1.89744437732437e-14,5.40152602710246e-14
"P-hsa05166-132 136","DOWN",-7.6467898321508,2.0627380854037e-14,5.86317673972324e-14
"P-hsa04664-46","UP",7.64303153628806,2.12387377575033e-14,6.02781725160004e-14
"P-hsa04670-39","DOWN",-7.62826680254159,2.38178556283648e-14,6.74959171583267e-14
"P-hsa04912-46","UP",7.61994486170267,2.54048129759117e-14,7.18845085110262e-14
"P-hsa04064-97","DOWN",-7.61752881436233,2.58847135292391e-14,7.31321123205611e-14
"P-hsa05164-53","DOWN",-7.61538121672648,2.63187700002304e-14,7.42466353690711e-14
"P-hsa03320-10","UP",7.61135447115926,2.71520076992311e-14,7.64822318975338e-14
"P-hsa04933-27","DOWN",-7.59524748889038,3.07523332407116e-14,8.64938188299474e-14
"P-hsa03320-42","DOWN",-7.59283144155005,3.13314089915182e-14,8.79906036947426e-14
"P-hsa04921-77","UP",7.57591911016773,3.56962865072898e-14,1.00099003718499e-13
"P-hsa05205-188","DOWN",-7.5735030628274,3.63667869154586e-14,1.01827003363284e-13
"P-hsa05152-82","DOWN",-7.57323461312291,3.64420471766615e-14,1.01885663939519e-13
"P-hsa05222-36","DOWN",-7.5619597255347,3.97451358192731e-14,1.10955170828804e-13
"P-hsa04066-46","DOWN",-7.5590067787854,4.06578021132366e-14,1.13334378550419e-13
"P-hsa04922-70","UP",7.55417468410474,4.21959006362444e-14,1.17447343610674e-13
"P-hsa04728-64","DOWN",-7.543168246221,4.59160966630374e-14,1.2761273679979e-13
"P-hsa05160-77","DOWN",-7.53779925213138,4.78460955880804e-14,1.32779993081714e-13
"P-hsa05214-23","DOWN",-7.53216180833727,4.99584009290817e-14,1.38232979561884e-13
"P-hsa05214-56","DOWN",-7.53216180833727,4.99584009290817e-14,1.38232979561884e-13
"P-hsa05031-55","UP",7.51202808050117,5.82780344486672e-14,1.610156003324e-13
"P-hsa05166-83","DOWN",-7.50961203316084,5.9363680535189e-14,1.63773918652963e-13
"P-hsa04660-30","DOWN",-7.48518311005304,7.15205099366781e-14,1.97022726345386e-13
"P-hsa04910-9","DOWN",-7.47256597394241,7.87262045233019e-14,2.16554779597822e-13
"P-hsa04022-37 38","UP",7.46021728753627,8.64679520490829e-14,2.37502017634084e-13
"P-hsa05161-195","DOWN",-7.44921084965254,9.39957701315946e-14,2.57801264279052e-13
"P-hsa04972-21","DOWN",-7.44008355970017,1.00723923553482e-13,2.7585121253479e-13
"P-hsa04360-20","DOWN",-7.42666107447611,1.11486274576091e-13,3.04880832514208e-13
"P-hsa04068-40","DOWN",-7.42182897979544,1.15631063503711e-13,3.15755276758314e-13
